"Reference","Qty","Value","LCSC"
"D1,D2,D3,D4","4","LED","C473831"
"D6","1","SS14",""
"J1","1","DCJ200-10-A-XX-K_REVA","C5280493"
"J2,J3","2","B5PS-VH","C157989"
"J4,J5","2","Conn_01x07","C492406"
"J6","1","Conn_01x06","C42431807"
"J7","1","Conn_01x02","C492401"
"K2","1","Songle Relay SRD-05VDC-SL-C","C35449"
"Q1","1","MMBT2222A","C82460"
"R2","1","1K","C22548"
"R3,R4,R5,R6","4","470E","C114669"
"R7,R8","2","4k7","C99782"
